"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075116,36.9471519149014,8.09231108103535e-299,4.5870954120115e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246595,36.8352639561666,5.03520683613264e-297,2.74847697596011e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.069361389322573,36.6909753183987,1.01726618391336e-294,5.35445322089825e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.058906348089818,-36.466132722591,3.81873143499156e-291,1.94070565134157e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413098,5.93856217975854e-291,2.91741764684271e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307446,-36.2808238848628,3.24649821970229e-288,1.54344808909588e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941872,36.2707029432348,4.6879735316929e-288,2.15910480969031e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758647,-36.2228494299791,2.65984835140679e-287,1.18790439403131e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027378,36.1446992488167,4.50689778432784e-286,1.95360763368893e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.078171511472937,-36.1399178936208,5.35778353356258e-286,2.21230320948385e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522504,36.1396808426033,5.40391610404522e-286,2.21230320948385e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517418,-35.7887108200649,1.65485249265695e-280,6.59168000994002e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094735,35.3236809713132,2.54305707443789e-273,9.86304609554357e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274717,-35.249141292455,3.53646850167166e-272,1.33642237891377e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896519,-35.1930555341767,2.55367981590164e-271,9.40903328168961e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.080659435357008,35.177968394482,4.34407225917753e-271,1.56153504770143e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695776,35.1424932628331,1.51368681108393e-270,5.31159910041784e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.086113672349893,-34.9774903180618,4.94847109857863e-268,1.69605969885702e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887591,-34.9512940253648,1.23760619416396e-267,4.1454182021792e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990078,0.0676832762470139,34.8366769554069,6.77554401269732e-266,2.21906594798073e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841851,34.8299159163024,8.57647267096037e-266,2.74782726575248e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569895,0.0588365433182906,34.2452170379727,5.13836406750215e-257,1.61125977929461e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754318,-34.203904220694,2.11545038694774e-256,6.49531412559078e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807063,-33.8997479311371,6.7188789308825e-252,2.02087423843564e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840234,0.0418063486004937,33.7243085225025,2.54545118003867e-249,7.50297189828198e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797689,33.6829252261046,1.02810293774229e-248,2.9710159012639e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592261,33.6071784047493,1.31769411189365e-247,3.7346491963632e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327074,0.0564684070240054,-33.5341112503093,1.53477285966661e-246,4.26782686901255e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659193329,0.0509601087578484,-33.4290219047252,5.19390786192368e-245,1.41755211238947e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001158026,-33.3239077682217,1.73984876225105e-243,4.66216201055563e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505363,-33.2839410961513,6.5932284009936e-243,1.73519643167578e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201437,0.0547035645119119,33.0977814365297,3.19851269760273e-240,8.27011932232789e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.0522701778398902,32.9854403246037,1.31369113049502e-238,3.33813446228201e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545416,-32.9413586521173,5.62520534755142e-238,1.40515722732564e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754696904,0.0515037594735046,32.7383391854425,4.44954348189566e-235,1.09295619726964e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453734,32.6580003619394,6.16939827403726e-234,1.49056707807805e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085652,0.0389873664648052,32.604785245088,3.508285103087e-233,8.33953320149939e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.28548149971663e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821221926,32.3715649486201,6.89943141930713e-230,1.58880969152732e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480701049,-32.0544155435808,1.90535970723024e-225,4.32018328694757e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352491,31.779192107958,1.25506730587446e-221,2.80260332636028e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954274,0.0449230268066079,-31.7122734333029,1.05241788807987e-220,2.31500519918226e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473112,31.6113341764631,2.57952646027888e-219,5.59074426052796e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704491,31.5755460911245,7.99970833077695e-219,1.7086913243332e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777580259,0.13703242626583,31.5721460511088,8.90724412969884e-219,1.87535662833573e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555336,31.4114289631432,1.41265544505296e-216,2.93235435904093e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619607,-31.3751518190585,4.41710004901673e-216,9.04155840589007e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409630006,31.3716617369937,4.92877345982755e-216,9.95072099327924e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992718,0.0432786266468052,-30.7505460094219,1.20240107717457e-207,2.39472798316201e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243809,0.0685910537341624,30.6875084700693,8.35466517488573e-207,1.64174740463288e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019137,30.6666297651973,1.58631168020921e-206,3.07619230827939e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278301,-30.5292805152559,1.06537508806193e-204,2.03915559063074e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887567,-30.4088241725175,4.19913010068376e-203,7.93420249024068e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.0574719541070898,30.2794517298543,2.13754238023883e-201,3.93788744999499e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259671,-30.1352334724665,1.67481171932398e-199,3.04733026165393e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786226,-30.0569968334838,1.76884785968152e-198,3.1791804580471e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.10940184626064,-30.0096634209998,7.34104325637507e-198,1.30352163268019e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642849809,-29.9452913860487,5.06700387110569e-197,8.89017893480425e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001686,0.112773759026442,-29.8265911241655,1.76651997404443e-195,3.06293780911375e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566275,29.8149196231918,2.50291232393934e-195,4.28929323607186e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544847,29.7021593738713,7.20107911126806e-194,1.21908423490594e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201168,29.701796956722,7.27910250181318e-194,1.21908423490594e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260098,0.0575941295653189,-29.662060100474,2.37079357308469e-193,3.9259276045081e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112514,29.6103808091002,1.09851400220134e-192,1.79887770716038e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088443,-29.5795080992111,2.74196632636266e-192,4.44078018878384e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811210994,29.48005362336,5.18784996081692e-191,8.31071007853475e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329817,0.05577169820888,-29.4545779679453,1.09998439721201e-190,1.7431795748506e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481009,-29.4445921079844,1.47655804381136e-190,2.31505451592466e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559754,-29.4263407761982,2.5283548140305e-190,3.92240981570331e-188,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375006,29.3531100696613,2.18081805455741e-189,3.34801005084033e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410087,0.05933700198509,29.3441539991925,2.83730010967623e-189,4.31094113571219e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517725,29.1497600192521,8.41273252977128e-187,1.26517195942622e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831424,29.0450996897048,1.77448669754159e-185,2.64165504528969e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.0520551632799627,-28.9624162964609,1.95795248651864e-184,2.88563037463117e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448294,-28.9326537792227,4.63889644339341e-184,6.76911443393387e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.048637532733504,-28.8487364554755,5.2552047009042e-183,7.59325557665942e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182881,-28.8071086682614,1.74737916510581e-182,2.500279042265e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570583,28.7838150590694,3.42011533598746e-182,4.84669805978684e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.0934361677954541,-28.7501965637635,9.00647321285163e-182,1.26416573534293e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.6137581642745,0.0561603398586692,-28.7348361554723,1.40128319748535e-181,1.94831243061689e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.4751760959328,0.0513457658429172,-28.7302384474278,1.59943723059237e-181,2.20303793499723e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294069,28.7214673758163,2.05836700224621e-181,2.8089085999171e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302052,28.6078863178845,5.36043432742144e-180,7.24789735023277e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.0428453768679282,-28.5957522156446,7.5876779843885e-180,1.01661089212653e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.08902871217915,-28.4493217297191,4.96814084869357e-178,6.59643782234647e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487021,28.4446019542215,5.68297280100299e-178,7.47818331617697e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.0530931788051748,28.3665604897301,5.23016681887635e-177,6.82143350235396e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556458,28.3074730221466,2.79630988086647e-176,3.6150890372114e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840334,28.2741363319299,7.1893292020273e-176,9.21359424169376e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530642751,0.0365228229247469,-28.204974970035,5.08117177332956e-175,6.45571634442509e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709685,-28.2019640588093,5.53209469874778e-175,6.96854800599529e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805979,-28.1195845475744,5.64500035783491e-174,7.05050976896364e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536806,28.0352704905676,6.04059391070994e-173,7.48119941647421e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744178982,-27.9348651225452,1.0067848149636e-171,1.23649955024446e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.095223006599412,27.885576283351,3.99157446220518e-171,4.86180367140331e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045359,27.8775640361235,4.99214871292082e-171,6.03067932221533e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462072,-27.8678971566101,6.53815283355855e-171,7.83408914316959e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702908,27.8074527793913,3.52495005109865e-170,4.18957369783e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550532,-27.7146638456023,4.64845066236041e-169,5.48070926894941e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691451,27.6591660006251,2.16519900493532e-168,2.53259547101086e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895211,27.6420113823013,3.48151090056216e-168,4.04019745295159e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463355,27.5035732543449,1.59110643192207e-166,1.83200989013027e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232827,-27.4669575015737,4.35860484894014e-166,4.97962157082789e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.0634971545468511,-27.4390202305666,9.39453901891183e-166,1.06505166200556e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110962,27.3907177503731,3.53780645400958e-165,3.98016729154147e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626786,-27.3631999558212,7.52223196994378e-165,8.39868596765389e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.074462512409694,-27.3628785146653,7.58877530124198e-165,8.4092759691507e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.12168897950092,-27.3585778356665,8.53774309066144e-165,9.39024310971405e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525846,-27.3447361397161,1.24733546087679e-164,1.36172074240016e-162,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249197315,0.074490938790507,27.2869764427265,6.05493783092046e-164,6.56159365824307e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.76480532250089e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720943,27.0366054838849,5.48949071158843e-161,5.86261696430364e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045887,-27.0326997212278,6.10171879420681e-161,6.46957781215971e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.111928825364897,-27.0094864846766,1.14349478657963e-160,1.20377329747218e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026519,-26.8589364660686,6.63278235066004e-159,6.93290399177502e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751200023,0.0535105857075576,-26.8460435071884,9.38123336957942e-159,9.73666319724377e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.0754066735931197,-26.8434256913521,1.00651912777957e-158,1.03734817518988e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598418,26.8166716709299,2.06535898819616e-158,2.11383755333576e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667852,0.0510598841190588,-26.8038488588671,2.91410850432247e-158,2.96194007839342e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093582,26.782089406619,5.22457868921964e-158,5.27396169326843e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517073,-26.6672613337352,1.1288864563011e-156,1.13180466618814e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328775,-26.6284944333349,3.17636687967062e-156,3.1630604778774e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877156,-26.6096898008751,5.24358146570506e-156,5.18657071419874e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.95768161788922e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560543,-26.5299995900892,4.37001752537574e-155,4.26525286682037e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182813,0.0415181804493283,26.4886213684233,1.31081166236412e-154,1.270969886837e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870148,-26.4103059601978,1.04332687753723e-153,1.00500336739501e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.050951658123673,-26.3952464091652,1.55363482864928e-153,1.48684870809306e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431439,26.3897768217255,1.79527827124004e-153,1.70702007493779e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365486611,0.050222827027502,26.371746340381,2.89070201937769e-153,2.73097220266593e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809716,26.365307341666,3.42646730956188e-153,3.21651434447917e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537261,26.2751381577005,3.69002687386409e-152,3.4420010168993e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978411161,-26.2627311506694,5.11421310037694e-152,4.74045740083995e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339453,0.134086229283588,26.1601163828378,7.5611341225267e-151,6.96474966861241e-149,"RIPOR3","140876","RIPOR family member 3"
